FoliageArthID,BeatSheetFK,CCGroup,Length,Quantity,PhotoURL,CCNotes,TaxonLevel,Taxon,TotalMass,TaxonID,NumberWeighed
105270,131151,moths,3,1,NA,Lost,order,Lepidoptera,NA,117232,
105271,131151,spider,5,1,NA,NA,family,Tetragnathidae,6,847764,
105272,131151,spider,4,1,NA,NA,species,Hibana gracilis,5.6,881342,
105273,131152,spider,4,1,NA,NA,species,Hibana gracilis,9.7,881342,
105274,131153,ant,3,2,NA,NA,species,Prenolepis imparis,2.7,577971,
105275,131153,beetle,2,1,NA,NA,family,Mordellidae,0.7,114383,
105276,131154,daddylonglegs,3,1,NA,NA,species,Odiellus pictus,6.2,1014097,
105277,131155,ant,3,3,NA,NA,species,Prenolepis imparis,3.6,577971,
105278,131155,beetle,11,1,NA,NA,species,Arrenodes minutus,29.2,904027,
105279,131155,spider,3,1,NA,NA,family,Anyphaenidae,2.5,871515,
105280,131157,beetle,3,1,NA,NA,family,Mordellidae,0.9,114383,
105281,131158,other,3,1,NA,Psocodea,order,Psocodea,0.2,998435,
105282,131158,caterpillar,5,1,105282.jpeg,NA,family,Geometridae,1.7,117556,
105283,131160,beetle,6,1,NA,NA,genus,Melanotus,10.8,113906,
105284,131161,ant,2,2,NA,NA,genus,Crematogaster,1.3,574052,
105285,131161,ant,4,1,NA,NA,genus,Camponotus,2.2,154194,
105286,131161,other,2,1,NA,Psocodea,order,Psocodea,0.2,998435,
105287,131162,beetle,3,1,NA,NA,family,Cleridae,1.3,113852,
105288,131162,beetle,2,1,NA,NA,family,Cleridae,1.3,113852,
105289,131163,beetle,2,1,NA,Lost,order,Coleoptera,NA,109216,
105290,131163,moths,3,1,NA,NA,order,Lepidoptera,1.1,117232,
105291,131164,ant,6,1,NA,NA,genus,Camponotus,9.3,154194,
105292,131165,beetle,2,1,NA,NA,family,Tenebrionidae,0.8,114419,
105293,131165,beetle,3,1,NA,NA,family,Curculionidae,2.8,114666,
105294,131167,ant,3,2,NA,NA,species,Prenolepis imparis,3,577971,
105295,131167,beetle,2,1,NA,NA,family,Curculionidae,3.2,114666,
105296,131167,spider,5,1,NA,NA,family,Thomisidae,5.8,871543,
105297,131169,fly,2,1,NA,Lost,order,Diptera,NA,118831,
105298,131170,ant,3,1,NA,NA,species,Prenolepis imparis,1.9,577971,
105299,131170,spider,2,1,NA,NA,family,Araneidae,2.5,82737,
105300,131170,moths,3,1,NA,Lost,order,Lepidoptera,NA,117232,
105303,131174,beetle,4,1,NA,NA,genus,Melanotus,3.1,113906,
105304,131175,beetle,2,1,NA,NA,family,Curculionidae,3.7,114666,
105305,131175,moths,4,1,NA,NA,order,Lepidoptera,2.9,117232,
105306,131175,spider,4,1,NA,NA,species,Hibana gracilis,6.8,881342,
205212,131100,spider,2,1,NA,NA,order,Araneae,1.7,82732,
205220,131111,spider,3,1,NA,NA,species,Hibana gracilis,NA,881342,
205221,131111,beetle,2,1,NA,NA,family,Ptinidae,NA,114472,
105307,131177,ant,5,1,NA,NA,genus,Camponotus,4.1,154194,
105308,131177,ant,2,1,NA,NA,genus,Crematogaster,0.7,574052,
105309,131178,spider,5,1,NA,NA,family,Salticidae,6.8,871537,
105310,131178,beetle,6,1,NA,NA,family,Elateridae,12.8,113879,
105311,131179,other,2,1,NA,Psocodea,order,Psocodea,0.3,998435,
105312,131180,ant,5,1,NA,NA,genus,Camponotus,2.6,154194,
105313,131181,spider,4,1,NA,NA,family,Thomisidae,5.8,871543,
105314,131183,ant,6,1,NA,NA,genus,Camponotus,11.1,154194,
105315,131184,ant,3,1,NA,NA,genus,Crematogaster,0.8,574052,
105316,131184,leafhopper,2,2,NA,Lost,suborder,Auchenorrhyncha,NA,109167,
105317,131184,spider,5,1,NA,NA,family,Salticidae,6,871537,
105318,131186,ant,8,1,NA,Lost,family,Formicidae,NA,154193,
105319,131187,other,3,12,NA,"Trichoptera, all same, lost 9",order,Trichoptera,1.5,115095,
105320,131188,leafhopper,3,1,NA,NA,family,Cicadellidae,1.8,109171,
105321,131190,beetle,5,1,NA,NA,family,Buprestidae,4.9,114968,
105322,131193,ant,2,3,NA,NA,genus,Forelius,0.6,573923,
105323,131193,truebugs,2,3,NA,Tingidae,genus,Corythucha,2,104215,
105324,131196,spider,6,1,NA,Lost,order,Araneae,NA,82732,
105325,131196,other,2,4,NA,"Psocodea, Lost 2",order,Psocodea,0.5,998435,
105326,131197,caterpillar,4,1,105326.jpeg,NA,order,Lepidoptera,1.8,117232,
105327,131197,beetle,2,1,NA,NA,family,Curculionidae,4.6,114666,
105328,131197,leafhopper,6,1,NA,NA,family,Membracidae,38.5,109170,
105329,131197,truebugs,2,1,NA,Tingidae,genus,Corythucha,0.6,104215,
105332,131204,beetle,4,1,NA,Elateridae,family,Elateridae,2.2,113879,
105333,131204,truebugs,2,1,NA,Bright red mite mimic nymph,species,Rhinocapsus vanduzeei,0.8,106812,
105334,131205,moths,4,1,NA,NA,order,Lepidoptera,1.5,117232,
105335,131207,other,11,1,NA,Ephemeroptera,order,Ephemeroptera,10.7,100502,
105336,131208,ant,3,3,NA,NA,species,Prenolepis imparis,4.6,577971,
105337,131209,moths,4,1,NA,NA,order,Lepidoptera,2.2,117232,
105338,131210,beetle,10,1,NA,NA,family,Elateridae,27.9,113879,
105339,131212,beetle,11,1,NA,Elateridae,family,Elateridae,33.2,113879,
105340,131214,beetle,2,1,NA,NA,family,Tenebrionidae,0.8,114419,
105341,131214,beetle,3,1,NA,NA,family,Melyridae,0.6,113869,
105342,131215,ant,5,1,NA,NA,genus,Paratrechina,3.6,154224,
105343,131216,beetle,8,1,NA,Elateridae,family,Elateridae,13.2,113879,
105344,131221,other,2,1,NA,Psocodea,order,Psocodea,0.9,998435,
105345,131222,ant,3,1,NA,NA,species,Prenolepis imparis,1,577971,
105346,131224,other,12,1,NA,Plecoptera,family,Perlidae,14.8,102914,
105347,131225,ant,3,1,NA,NA,species,Prenolepis imparis,0.7,577971,
105348,131225,fly,4,1,NA,NA,family,Conopidae,5.5,141828,
105349,131226,spider,2,1,NA,NA,family,Anyphaenidae,2.3,871515,
105350,131226,spider,3,1,NA,NA,family,Anyphaenidae,3.2,871515,
105432,131311,truebugs,4,1,NA,NA,family,Miridae,6.9,104419,
105435,131315,truebugs,2,2,NA,NA,genus,Corythucha,2.3,104215,
105436,131318,other,2,1,NA,Psocodea,order,Psocodea,0.8,998435,
105437,131321,bee,2,1,NA,NA,order,Hymenoptera,0.3,152741,
105438,131321,ant,3,1,NA,Lost,family,Formicidae,NA,154193,
105439,131321,spider,5,1,NA,NA,species,Hibana gracilis,9.1,881342,
105440,131322,truebugs,2,1,NA,Tingidae,genus,Corythucha,0.6,104215,
105442,131325,beetle,3,1,NA,NA,family,Saldidae,0.8,104063,
105443,131326,beetle,2,1,NA,NA,family,Coccinellidae,3,114329,
105444,131327,other,3,3,Lost 1,"Trichoptera, all same, lost 1",order,Trichoptera,1.8,115095,
105445,131327,beetle,2,1,NA,larva,family,Coccinellidae,1,114329,
105446,131329,beetle,3,3,NA,NA,family,Mordellidae,4.8,114383,
205446,131329,NA,NA,NA,NA,NA,family,Chrysomelidae,2.3,114509,
105447,131329,spider,4,1,NA,NA,family,Tetragnathidae,3.1,847764,
105448,131330,ant,6,1,NA,NA,genus,Formica,7.8,154211,
105449,131332,spider,3,1,NA,NA,family,Anyphaenidae,2.8,871515,
105450,131333,beetle,5,1,NA,NA,species,Ptosima gibbicollis,16.8,809008,
105451,131334,bee,3,1,NA,NA,order,Hymenoptera,NA,152741,
105452,131334,beetle,5,2,NA,NA,family,Elateridae,24.5,113879,
105453,131334,truebugs,4,1,NA,NA,family,Miridae,4.5,104419,
105454,131336,ant,7,1,NA,NA,genus,Formica,8.3,154211,
105519,131423,spider,12,1,NA,NA,family,Tetragnathidae,17,847764,
105520,131424,fly,3,1,NA,NA,family,Chironomidae,0.5,127917,
105521,131424,spider,3,1,NA,NA,family,Anyphaenidae,2.7,871515,
105522,131424,other,2,1,NA,NA,order,Psocodea,0.8,998435,
105523,131425,truebugs,4,1,NA,NA,family,Miridae,6.6,104419,
105524,131426,bee,2,1,NA,NA,family,Eurytomidae,NA,154008,
205524,131426,NA,2,1,NA,NA,order,Diptera,0.9,118831,
105525,131427,fly,3,1,NA,NA,family,Chloropidae,1.8,147644,
105526,131429,fly,2,1,NA,NA,order,Diptera,0.4,118831,
105527,131429,spider,2,1,NA,NA,family,Araneidae,0.6,82737,
105528,131433,beetle,2,1,NA,NA,order,Coleoptera,0.5,109216,
105529,131433,beetle,4,1,NA,NA,family,Mordellidae,3,114383,
105530,131433,fly,4,1,NA,NA,order,Chironomidae,0.6,127917,
105531,131434,beetle,4,2,NA,NA,family,Elateridae,7.5,113879,
105532,131434,spider,2,1,NA,NA,family,Araneidae,0.8,82737,
205532,131434,NA,2,1,NA,NA,family,Anyphaenidae,0.7,871515,
105533,131434,spider,4,1,NA,NA,species,Hibana gracilis,9.9,881342,
105534,131435,leafhopper,4,1,NA,NA,suborder,Auchenorrhyncha,NA,109167,
105535,131436,truebugs,3,1,NA,nymph,family,Miridae,3.6,104419,
105536,131436,bee,2,1,NA,NA,family,Braconidae,0.7,152867,
105537,131437,beetle,4,1,NA,NA,family,Elateridae,5.3,113879,
105538,131437,fly,3,1,NA,NA,family,Asilidae,2.2,132394,
105539,131437,truebugs,2,1,NA,NA,family,Miridae,2.3,104419,
105540,131438,beetle,2,1,NA,NA,family,Tenebrionidae,0.7,114419,
105541,131438,beetle,3,1,NA,NA,family,Mordellidae,2.6,114383,
105542,131439,beetle,2,1,NA,NA,family,Melandryidae,0.1,114452,
105543,131439,spider,2,1,NA,NA,family,Araneidae,0.7,82737,
105544,131440,beetle,4,1,NA,NA,family,Melandryidae,1.7,114452,
105545,131442,ant,6,1,NA,NA,genus,Formica,7.9,154211,
105546,131442,spider,5,1,NA,NA,family,Salticidae,5.8,871537,
105547,131443,ant,3,1,NA,NA,species,Prenolepis imparis,1.1,577971,
105548,131443,truebugs,8,1,NA,nymph,family,Cicadellidae,20.9,109171,
105549,131443,truebugs,10,1,NA,NA,species,Banasa calva,92,108764,
105550,131445,ant,3,2,NA,NA,species,Prenolepis imparis,2.2,577971,
105551,131445,spider,3,2,NA,NA,family,Anyphaenidae,7.4,871515,
105552,131446,beetle,3,1,NA,NA,family,Melandryidae,1.1,114452,
105553,131446,truebugs,3,1,NA,NA,family,Miridae,2.7,104419,
105587,131474,beetle,2,1,NA,NA,family,Tenebrionidae,0.4,114419,
105588,131474,ant,3,1,NA,NA,genus,Prenolepis imparis,0.8,577971,
105589,131474,fly,2,1,NA,NA,order,Diptera,0.1,118831,
105590,131474,other,2,1,NA,NA,order,Psocodea,0.1,998435,
105591,131476,beetle,3,1,NA,NA,species,Microtonus sericans,0.1,NA,
105599,131489,beetle,3,1,NA,NA,species,Microtonus sericans,1.2,NA,
105606,131493,ant,3,1,NA,NA,genus,Crematogaster,0.5,574052,
105607,131493,truebugs,15,1,105607.jpeg,NA,species,Zelus luridus,110.2,107375,
105608,131493,other,2,1,NA,NA,order,Psocodea,0.5,998435,
105624,131509,spider,5,1,NA,NA,species,Hibana gracilis,13.4,881342,
105632,131519,spider,4,1,NA,NA,family,Salticidae,5.2,871537,
105633,131519,leafhopper,6,1,NA,NA,family,Cicadellidae,15.1,109171,
105634,131519,spider,2,1,NA,NA,family,Thomisidae,0.8,871543,
105646,131529,beetle,2,1,NA,NA,species,Microtonus sericans,0.6,NA,
105647,131529,moths,4,1,NA,NA,order,Lepidoptera,NA,117232,
105653,131534,ant,4,1,NA,NA,genus,Dolichoderus,1.9,573918,
105654,131534,beetle,2,1,NA,NA,species,Microtonus sericans,0.5,NA,
105655,131534,beetle,4,1,NA,NA,species,Microtonus sericans,1.8,NA,
105656,131534,fly,5,1,NA,NA,family,Culicidae,NA,125930,
105658,131537,leafhopper,3,1,NA,NA,suborder,Auchenorrhyncha,NA,109167,
105659,131538,fly,3,1,NA,NA,family,Tephritidae,0.6,142604,
105660,131538,spider,2,1,NA,NA,family,Thomisidae,1,871543,
105683,131566,spider,4,1,NA,NA,family,Anyphaenidae,3.7,871515,
106254,132049,ant,3,2,NA,NA,species,Prenolepis imparis,1.7,577971,
106255,132049,spider,2,1,NA,NA,family,Thomisidae,0.7,871543,
106256,132049,other,2,1,NA,NA,order,Psocodea,0.4,998435,
105684,131567,beetle,3,1,NA,NA,family,Mordellidae,1.7,114383,
105686,131569,beetle,3,1,NA,NA,species,Microtonus sericans,1.6,NA,
105687,131569,beetle,5,1,NA,NA,subfamily,Cetoniinae,26.5,678511,
105688,131571,beetle,5,1,NA,NA,subfamily,Cetoniinae,19.6,678511,
105689,131571,spider,2,1,NA,NA,family,Thomisidae,1.6,871543,
105755,131613,ant,9,1,NA,NA,genus,Camponotus,13,154194,
105756,131613,leafhopper,2,1,NA,NA,suborder,Auchenorrhyncha,NA,109167,
105757,131615,grasshopper,6,1,NA,NA,genus,Oecanthus,2.5,102363,
105758,131615,beetle,2,1,NA,NA,species,Microtonus sericans,1.2,NA,
105759,131618,ant,5,1,NA,NA,genus,Camponotus,4.8,154194,
105760,131618,other,2,1,NA,NA,order,Psocodea,0,998435,
105761,131620,beetle,5,1,NA,NA,family,Elateridae,6.5,113879,
105762,131622,beetle,3,1,NA,NA,family,Mordellidae,2.7,114383,
105763,131622,aphid,2,1,NA,NA,family,Aphididae,0.6,109191,
105764,131623,beetle,5,1,NA,NA,family,Elateridae,10.8,113879,
105765,131623,beetle,3,1,NA,NA,family,Mordellidae,2.3,114383,
105766,131623,daddylonglegs,3,1,NA,NA,family,Phalangiidae,14.1,1012454,
105767,131624,daddylonglegs,3,1,NA,NA,family,Phalangiidae,8,1012454,
105768,131626,ant,5,1,NA,NA,genus,Formica,5.9,154211,
105769,131628,daddylonglegs,4,1,NA,NA,family,Phalangiidae,18.2,1012454,
105770,131630,beetle,2,1,NA,NA,family,Curculionidae,2,114666,
105771,131631,spider,2,1,NA,NA,family,Araneidae,3.3,82737,
205771,131627,beetle,3,1,NA,NA,species,Microtonus sericans,0.5,NA,
105772,131634,beetle,2,1,NA,NA,species,Microtonus sericans,0.5,NA,
105773,131634,other,3,1,NA,NA,order,Psocodea,0.7,998435,
105774,131635,bee,2,2,NA,NA,family,Braconidae,0.3,152867,
205774,131635,beetle,13,1,NA,NA,family,Elateridae,59.3,113879,
106021,131878,grasshopper,3,1,NA,NA,family,Gryllidae,5.3,102281,
106022,131878,truebugs,2,1,NA,NA,species,Boisea trivittata,1.2,108529,
106023,131881,beetle,2,1,NA,NA,species,Microtonus sericans,0.9,NA,
106024,131882,ant,3,1,NA,NA,genus,Crematogaster,0.5,574052,
106025,131883,spider,2,1,NA,NA,family,Tetragnathidae,0.1,847764,
106026,131884,bee,2,1,NA,NA,family,Braconidae,0,152867,
106027,131884,beetle,4,1,NA,NA,order,Coleoptera,2.5,109216,
106028,131884,spider,2,2,NA,NA,order,Araneae,1.1,82732,
106029,131884,leafhopper,4,1,NA,NA,suborder,Auchenorrhyncha,NA,109167,
106030,131885,ant,4,1,NA,NA,genus,Camponotus,2.8,154194,
106031,131885,leafhopper,3,1,NA,NA,family,Cicadellidae,2.7,109171,
106032,131885,other,2,1,NA,NA,order,Psocodea,0.1,998435,
106033,131886,beetle,2,1,NA,NA,species,Microtonus sericans,1.8,NA,
106034,131886,bee,3,1,NA,NA,family,Braconidae,1,152867,
106035,131887,ant,5,1,NA,NA,family,Formicidae,NA,154193,
206036,131887,spider,2,1,NA,NA,family,Thomisidae,0.6,871543,
106036,131887,spider,2,3,NA,NA,family,Clubionidae,3.9,871518,
106037,131887,beetle,2,2,NA,NA,family,Curculionidae,5.3,114666,
106038,131888,beetle,2,1,NA,NA,family,Coccinellidae,1.3,114329,
106039,131888,beetle,3,1,NA,NA,species,Microtonus sericans,0.4,NA,
106040,131889,ant,3,1,NA,NA,species,Prenolepis imparis,0.1,577971,
106041,131890,spider,2,1,NA,NA,family,Araneidae,1.5,82737,
106042,131891,ant,4,1,NA,NA,genus,Camponotus,3.3,154194,
106043,131893,spider,10,1,NA,NA,family,Tetragnathidae,11.7,847764,
106044,131895,beetle,5,1,NA,NA,family,Elateridae,9.1,113879,
106045,131896,other,3,1,NA,NA,order,Trichoptera,0.3,115095,
106046,131897,leafhopper,2,1,NA,NA,family,Cicadellidae,1,109171,
106047,131897,leafhopper,3,1,NA,NA,family,Cicadellidae,1.6,109171,
106048,131897,beetle,2,1,NA,NA,species,Microtonus sericans,2.4,NA,
106049,131898,truebugs,3,1,NA,NA,family,Miridae,1.7,104419,
106050,131898,grasshopper,2,1,NA,NA,family,Gryllidae,0,102281,
106051,131898,other,10,1,NA,NA,genus,Perlesta,4.4,103251,
106052,131899,other,10,1,NA,NA,genus,Perlesta,NA,103251,
106053,131901,beetle,2,1,NA,NA,species,Microtonus sericans,1,NA,
106054,131901,daddylonglegs,3,1,NA,NA,family,Phalangiidae,17.5,1012454,
106055,131901,beetle,2,1,NA,NA,family,Curculionidae,2.7,114666,
106169,131983,grasshopper,5,1,NA,NA,family,Gryllidae,0.7,102281,
106170,131983,spider,5,1,NA,NA,family,Anyphaenidae,1.8,871515,
106171,131984,ant,5,1,NA,NA,genus,Camponotus,2.2,154194,
106172,131987,beetle,6,1,NA,NA,family,Elateridae,12.6,113879,
106173,131987,truebugs,2,1,NA,NA,suborder,Heteroptera,0,103358,
106176,131990,beetle,4,1,NA,NA,family,Elateridae,2.8,113879,
106177,131990,spider,2,1,NA,NA,family,Thomisidae,0.9,871543,
106181,131993,beetle,7,1,NA,NA,species,Rhagonycha mollis,5.7,834498,
106182,131994,beetle,12,1,NA,NA,family,Elateridae,36,113879,
106183,131995,other,2,5,NA,NA,order,Psocodea,2.7,998435,
106184,131996,beetle,5,1,NA,NA,family,Mordellidae,4.6,114383,
106185,131997,beetle,6,1,NA,NA,species,Rhagonycha mollis,5.9,834498,
106186,131998,spider,5,1,NA,NA,species,Hibana gracilis,8.4,881342,
106187,131999,spider,2,1,NA,NA,family,Araneidae,1.3,82737,
106188,132002,beetle,4,1,NA,NA,family,Elateridae,3.4,113879,
106189,132002,spider,2,1,NA,NA,NA,Araneae,1.8,82732,
106190,132003,ant,5,1,NA,NA,genus,Camponotus,2.1,154194,
106191,132004,beetle,5,3,NA,NA,family,Elateridae,32,113879,
106192,132004,beetle,4,1,NA,NA,family,Elateridae,4.8,113879,
106193,132004,beetle,2,1,NA,NA,species,Microtonus sericans,0.1,NA,
206193,132004,spider,3,1,NA,NA,family,Tetragnathidae,3.4,847764,
106194,132005,beetle,3,1,NA,NA,order,Psocodea,1.2,998435,
106195,132005,beetle,5,1,NA,NA,family,Elateridae,11.7,113879,
106196,132005,spider,2,1,NA,NA,family,Araneidae,0.5,82737,
106197,132006,ant,3,1,NA,NA,genus,Crematogaster,0.7,574052,
106198,132006,beetle,2,1,NA,NA,species,Microtonus sericans,1.7,NA,
106199,132006,spider,4,1,NA,NA,family,Anyphaenidae,2.6,871515,
106203,132010,beetle,3,1,NA,NA,family,Mordellidae,NA,114383,
106204,132010,beetle,4,1,NA,NA,order,Coleoptera,NA,109216,
106205,132010,spider,4,1,NA,NA,family,Anyphaenidae,3.7,871515,
106208,132012,ant,6,2,NA,NA,genus,Formica,14,154211,
106209,132012,beetle,3,1,NA,NA,family,Mordellidae,2.6,114383,
106210,132012,beetle,4,1,NA,NA,family,Elateridae,4.7,113879,
106211,132014,beetle,4,1,NA,NA,family,Elateridae,5.1,113879,
106212,132015,ant,3,2,NA,NA,genus,Crematogaster,2.1,574052,
106213,132015,daddylonglegs,3,1,NA,NA,family,Phalangiidae,20.4,1012454,
107374,132748,beetle,5,1,NA,NA,order,Cantharidae,NA,113837,
106477,132213,beetle,2,1,NA,NA,order,Coleoptera,NA,109216,
106478,132213,beetle,3,1,NA,NA,family,Staphylinidae,0.5,113265,
106479,132213,other,3,1,NA,NA,order,Psocodea,1.7,998435,
106480,132214,beetle,4,1,NA,NA,species,Microtonus sericans,3.3,NA,
106481,132214,spider,3,1,NA,NA,family,Araneidae,5.5,82737,
106482,132214,unidentified,8,1,NA,NA,NA,NA,NA,NA,
106483,132215,leafhopper,2,1,NA,NA,family,Cicadellidae,NA,109171,
106484,132215,daddylonglegs,4,1,NA,NA,family,Phalangiidae,31.2,1012454,
106485,132215,beetle,2,1,NA,NA,family,Curculionidae,3.1,114666,
106486,132215,daddylonglegs,3,1,NA,NA,family,Phalangiidae,5.9,1012454,
106487,132215,grasshopper,3,1,NA,NA,family,Gryllidae,0.9,102281,
106490,132218,beetle,4,1,NA,NA,family,Mordellidae,2.8,114383,
106500,132223,leafhopper,3,1,NA,NA,family,Cicadellidae,2.6,109171,
106501,132223,unidentified,5,1,NA,NA,NA,NA,NA,NA,
106504,132227,moths,4,1,NA,NA,order,Lepidoptera,NA,117232,
106506,132232,aphid,2,1,NA,NA,family,Aphididae,0.9,109191,
106509,132234,beetle,3,1,NA,NA,family,Mordellidae,1,114383,
106510,132234,beetle,4,1,NA,NA,family,Mordellidae,NA,114383,
106520,132238,other,3,1,NA,NA,order,Psocodea,1.5,998435,
106521,132238,aphid,2,1,NA,NA,family,Aphididae,1.2,109191,
106522,132238,spider,5,1,NA,NA,family,Anyphaenidae,3.9,871515,
106523,132239,daddylonglegs,4,1,NA,NA,family,Phalangiidae,17.4,1012454,
106526,132241,beetle,5,1,NA,NA,family,Cantharidae,NA,113837,
106527,132241,beetle,4,1,NA,NA,family,Mordellidae,4.3,114383,
106528,132241,moths,6,1,NA,NA,order,Lepidoptera,2.1,117232,
106532,132243,leafhopper,2,1,NA,NA,family,Cicadellidae,2.5,109171,
106533,132243,moths,5,1,NA,NA,order,Lepidoptera,3.9,117232,
106540,132246,beetle,3,2,NA,NA,species,Microtonus sericans,2.6,NA,
106541,132246,beetle,2,1,NA,NA,family,Curculionidae,4,114666,
106542,132246,beetle,3,1,NA,NA,family,Staphylinidae,2.1,113265,
106543,132246,beetle,6,1,NA,NA,family,Elateridae,11.2,113879,
106544,132246,beetle,4,1,NA,NA,family,Elateridae,5,113879,
106546,132250,spider,4,1,NA,NA,order,Araneae,NA,82732,
106547,132250,spider,5,1,NA,NA,order,Araneae,NA,82732,
106548,132250,beetle,10,1,NA,NA,family,Cantharidae,NA,113837,
106549,132250,leafhopper,2,1,NA,NA,family,Cicadellidae,NA,109171,
106550,132250,ant,4,1,NA,NA,genus,Camponotus,2.3,154194,
106551,132250,spider,2,1,NA,NA,family,Araneidae,1.2,82737,
106561,132255,beetle,2,2,NA,NA,species,Microtonus sericans,1.2,NA,
106562,132255,beetle,3,1,NA,NA,species,Microtonus sericans,2.2,NA,
106563,132257,beetle,2,1,NA,NA,family,Curculionidae,2.3,114666,
106564,132257,beetle,3,1,NA,NA,family,Mordellidae,2.2,114383,
106565,132257,beetle,5,1,NA,NA,family,Elateridae,5.6,113879,
106566,132257,beetle,5,1,NA,NA,species,Isomira pulla,5,NA,
106569,132259,beetle,5,2,NA,NA,family,Elateridae,12.8,113879,
106570,132260,beetle,11,1,NA,NA,family,Cantharidae,36.8,113837,
106764,132398,beetle,3,1,NA,NA,species,Microtonus sericans,1.2,NA,
106765,132398,beetle,3,1,NA,NA,family,Mordellidae,2.1,114383,
106766,132398,beetle,4,1,NA,NA,family,Elateridae,5.1,113879,
106767,132398,beetle,5,1,NA,NA,family,Elateridae,6.7,113879,
206767,132399,ant,8,1,NA,NA,genus,Camponotus,17.9,154194,
106768,132399,ant,7,1,NA,NA,genus,Formica,10,154211,
106769,132399,beetle,4,1,NA,NA,family,Elateridae,6,113879,
106770,132399,truebugs,2,1,NA,NA,suborder,Heteroptera,0.5,103358,
